,Experiment number,M,N,Epsilon,Integrator,E1,E2,Training Loss
0,0.0,2.0,50.0,0.1,0.0,0.0205936414032504,0.1837342985056632,0.0001419064664855
1,0.0,2.0,50.0,0.1,1.0,0.0205950230111751,0.1837824166947571,0.0001419164830027
2,0.0,2.0,50.0,0.1,2.0,0.0235226006549884,0.1925111837547063,0.0001429127215282
3,0.0,2.0,50.0,0.1,3.0,0.0228954155383913,0.1888160157374201,0.0001412288956961
4,0.0,2.0,50.0,0.01,0.0,9.869051873192488e-05,0.0149873880410156,1.5139724368594127e-06
5,0.0,2.0,50.0,0.01,1.0,9.868075510578654e-05,0.0149874812008808,1.5140087029517028e-06
6,0.0,2.0,50.0,0.01,2.0,0.0001787009689483,0.0242123640646606,2.1175386621429994e-06
7,0.0,2.0,50.0,0.01,3.0,0.0001408898427662,0.0206114875910447,1.6089542531597544e-06
8,0.0,2.0,50.0,0.001,0.0,1.5596985360787835e-05,0.0029114725216142,2.7092997933100626e-08
9,0.0,2.0,50.0,0.001,1.0,1.5612296994260543e-05,0.0029122677768884,2.7099632071998733e-08
10,0.0,2.0,50.0,0.001,2.0,6.217174559897409e-05,0.0105591390792738,7.352265442686703e-07
11,0.0,2.0,50.0,0.001,3.0,3.5148081427427006e-05,0.0095335888337662,2.097223808870915e-07
12,0.0,2.0,50.0,0.0,0.0,7.827782337305825e-05,0.0051120156018209,7.223724384479291e-08
13,0.0,2.0,50.0,0.0,1.0,7.828663457735448e-05,0.0051124039191588,7.223338085097583e-08
14,0.0,2.0,50.0,0.0,2.0,0.0002671390157424,0.0132516524452728,6.953606728437792e-07
15,0.0,2.0,50.0,0.0,3.0,0.0001485537478893,0.0073564258526822,2.62402178705648e-07
16,0.0,2.0,500.0,0.1,0.0,0.001082102320809,0.0338730643053458,0.0001635158913069
17,0.0,2.0,500.0,0.1,1.0,0.0012719699060497,0.0334169222550909,0.0001671190514029
18,0.0,2.0,500.0,0.1,2.0,0.0011620064460986,0.0390652294927098,0.0001682468291613
19,0.0,2.0,500.0,0.1,3.0,0.0011011168569563,0.0388423805694102,0.0001574706512628
20,0.0,2.0,500.0,0.01,0.0,0.0108163856708591,0.0620575482841735,1.3376994028976127e-05
21,0.0,2.0,500.0,0.01,1.0,0.0126335273914055,0.0668328027342277,1.2786632989665586e-05
22,0.0,2.0,500.0,0.01,2.0,0.0113127048420382,0.0646851220964985,1.699188591154869e-05
23,0.0,2.0,500.0,0.01,3.0,0.0131789447096946,0.0682618118657714,1.544403834804683e-05
24,0.0,2.0,500.0,0.001,0.0,3.7368383284341953e-07,0.0005787518351965,1.6973658566362562e-08
25,0.0,2.0,500.0,0.001,1.0,3.547006665006062e-07,0.0007335956319246,1.7236140913810313e-08
26,0.0,2.0,500.0,0.001,2.0,2.257984167558328e-05,0.0089462064907955,7.285340351515683e-07
27,0.0,2.0,500.0,0.001,3.0,1.814011820017257e-05,0.0093927189871926,2.1935110388109137e-07
28,0.0,2.0,500.0,0.0,0.0,0.0005299613739725,0.0129661190401983,5.037596137336664e-07
29,0.0,2.0,500.0,0.0,1.0,0.0005584909727048,0.0133468706036144,4.297265486817563e-07
30,0.0,2.0,500.0,0.0,2.0,0.0006512056592754,0.016297449811967,1.2999276041363003e-06
31,0.0,2.0,500.0,0.0,3.0,0.0006177993807446,0.015292183834316,6.321622320610149e-07
32,0.0,2.0,1000.0,0.1,0.0,0.0004307338513793,0.0245672790150192,0.0001636590710505
33,0.0,2.0,1000.0,0.1,1.0,0.0004949983756415,0.0253072568329885,0.0001794134556175
34,0.0,2.0,1000.0,0.1,2.0,0.0006525812652407,0.0314865135883647,0.0001681654891909
35,0.0,2.0,1000.0,0.1,3.0,0.0006336368383296,0.0292966488744955,0.0001682878679241
36,0.0,2.0,1000.0,0.01,0.0,7.927602321002025e-06,0.0037171493417941,1.7336449306635168e-06
37,0.0,2.0,1000.0,0.01,1.0,1.6019380119733633e-05,0.0058486547752326,1.6892231841394698e-06
38,0.0,2.0,1000.0,0.01,2.0,2.9349033390152225e-05,0.0109646509744825,2.5341963879251395e-06
39,0.0,2.0,1000.0,0.01,3.0,1.3730933454889494e-05,0.0074476647808847,1.8495244086948127e-06
40,0.0,2.0,1000.0,0.001,0.0,2.722106170354833e-07,0.0008706564617008,1.5569883976102672e-08
41,0.0,2.0,1000.0,0.001,1.0,2.6236116663266465e-07,0.0007420961471793,1.5815857366699682e-08
42,0.0,2.0,1000.0,0.001,2.0,2.1621535620335667e-05,0.0095555926999773,7.669762607079745e-07
43,0.0,2.0,1000.0,0.001,3.0,1.4822513072325236e-05,0.0085011062955388,2.2672933880153346e-07
44,0.0,2.0,1000.0,0.0,0.0,2.4228499784068228e-08,0.0001151877067944,5.390659093826647e-11
45,0.0,2.0,1000.0,0.0,1.0,8.227763465824902e-08,0.0001986329904434,1.0481970305264118e-10
46,0.0,2.0,1000.0,0.0,2.0,2.8458405176991504e-05,0.0127656504282355,7.818268306693193e-07
47,0.0,2.0,1000.0,0.0,3.0,1.4333128204441856e-05,0.0081483862458514,2.0224640562478882e-07
48,0.0,2.0,1500.0,0.1,0.0,0.0002760247354168,0.0166742498833295,0.0001599474520527
49,0.0,2.0,1500.0,0.1,1.0,0.0002669970843839,0.0164680521074711,0.0001571228489315
50,0.0,2.0,1500.0,0.1,2.0,0.0002956312266193,0.0224019486719808,0.0001824000342132
51,0.0,2.0,1500.0,0.1,3.0,0.0002494474514845,0.0155465573907782,0.0001755341526337
52,0.0,2.0,1500.0,0.01,0.0,0.0033300883488608,0.0367147462543879,5.737771189478668e-06
53,0.0,2.0,1500.0,0.01,1.0,0.0011448768664101,0.0213309421267415,2.631764896170694e-06
54,0.0,2.0,1500.0,0.01,2.0,0.001902971439578,0.0281770545829616,5.040384504759223e-06
55,0.0,2.0,1500.0,0.01,3.0,0.0010864759229253,0.0217234690815691,3.030027701725145e-06
56,0.0,2.0,1500.0,0.001,0.0,4.636200074320069e-07,0.001439467344329,1.6866318637339243e-08
57,0.0,2.0,1500.0,0.001,1.0,1.2197462608872453e-07,0.0006868113667048,1.710377563272916e-08
58,0.0,2.0,1500.0,0.001,2.0,2.4891790313026488e-05,0.0117591131675265,7.771630244137702e-07
59,0.0,2.0,1500.0,0.001,3.0,1.7290656376127382e-05,0.0089961644629048,2.420542609705028e-07
60,0.0,2.0,1500.0,0.0,0.0,2.9562235717112184e-08,0.0001785902151843,4.822813718352792e-11
61,0.0,2.0,1500.0,0.0,1.0,3.569713121361761e-08,0.0001376805659445,7.411817458623553e-11
62,0.0,2.0,1500.0,0.0,2.0,1.3971117278043868e-05,0.0085078798276783,1.1007225827427436e-06
63,0.0,2.0,1500.0,0.0,3.0,1.3122360543229528e-05,0.0085847466152221,1.9978655163972889e-07
64,1.0,2.0,50.0,0.1,0.0,0.0210251173257022,0.131759446457774,0.0001274624235382
65,1.0,2.0,50.0,0.1,1.0,0.0210415932883597,0.1318885443641968,0.0001274574421368
66,1.0,2.0,50.0,0.1,2.0,0.0257085263823455,0.1615209797089847,0.0001249746060978
67,1.0,2.0,50.0,0.1,3.0,0.0246536591841314,0.1763833496722446,0.0001220271979951
68,1.0,2.0,50.0,0.01,0.0,9.365586741294002e-05,0.0136327390369133,1.5148524414212706e-06
69,1.0,2.0,50.0,0.01,1.0,9.367106502617369e-05,0.0136327728975588,1.5148290301262972e-06
70,1.0,2.0,50.0,0.01,2.0,8.084882118412689e-05,0.0104054433949299,2.4153398035044133e-06
71,1.0,2.0,50.0,0.01,3.0,7.560806397853825e-05,0.0100822594703748,1.8077085841441727e-06
72,1.0,2.0,50.0,0.001,0.0,0.0321895112247193,0.1060604389884109,2.8915047982853256e-05
73,1.0,2.0,50.0,0.001,1.0,0.0325586162633956,0.1068495207043465,2.928678257508212e-05
74,1.0,2.0,50.0,0.001,2.0,0.0342868748151421,0.1076308452477783,2.9174116653980985e-05
75,1.0,2.0,50.0,0.001,3.0,0.0339230455131354,0.1065454177076082,2.8683116539326e-05
76,1.0,2.0,50.0,0.0,0.0,7.06848703668925e-06,0.0029496542882438,9.496693137424305e-09
77,1.0,2.0,50.0,0.0,1.0,7.0684254738440365e-06,0.0029494792878779,9.496379496689687e-09
78,1.0,2.0,50.0,0.0,2.0,2.9861237537809024e-05,0.0076760315027175,6.736210638443528e-07
79,1.0,2.0,50.0,0.0,3.0,2.050863588182896e-05,0.0092430757622013,2.0570964867386341e-07
80,1.0,2.0,500.0,0.1,0.0,0.0016895880659101,0.0391749468816241,0.0001690266412616
81,1.0,2.0,500.0,0.1,1.0,0.0023460221679473,0.0474484450186535,0.0001590740386524
82,1.0,2.0,500.0,0.1,2.0,0.0019698620101074,0.0481263363203408,0.0001634959465107
83,1.0,2.0,500.0,0.1,3.0,0.0019237064005426,0.0422736596867941,0.000161188267541
84,1.0,2.0,500.0,0.01,0.0,7.185286553608421e-06,0.0042536829307703,1.5905745325024544e-06
85,1.0,2.0,500.0,0.01,1.0,6.399520851681486e-06,0.0043638858524244,1.652462399108105e-06
86,1.0,2.0,500.0,0.01,2.0,2.566457579589648e-05,0.0100021417498882,2.67859195013675e-06
87,1.0,2.0,500.0,0.01,3.0,2.821212995987714e-05,0.0118822235529037,1.9279570794306115e-06
88,1.0,2.0,500.0,0.001,0.0,4.0424378771185173e-07,0.0008055176478226,1.772104100230661e-08
89,1.0,2.0,500.0,0.001,1.0,2.610981058425313e-07,0.0004159160664303,1.6287079486565597e-08
90,1.0,2.0,500.0,0.001,2.0,2.408651396997275e-05,0.0113842928082267,8.576352043947391e-07
91,1.0,2.0,500.0,0.001,3.0,1.2667461836701814e-05,0.0079246996811398,2.099438744050911e-07
92,1.0,2.0,500.0,0.0,0.0,0.0013753793147221,0.0220926555275849,1.408978812289735e-06
93,1.0,2.0,500.0,0.0,1.0,0.0012974347025981,0.0213908032056082,1.3268562554904649e-06
94,1.0,2.0,500.0,0.0,2.0,0.0019250901588883,0.0274111265411717,2.776288856887777e-06
95,1.0,2.0,500.0,0.0,3.0,0.001462206895043,0.02337325363412,1.5431774222375336e-06
96,1.0,2.0,1000.0,0.1,0.0,0.0003804805674289,0.0205150545609318,0.0001634837058869
97,1.0,2.0,1000.0,0.1,1.0,0.0003594743181224,0.0208863800666612,0.0001702954731764
98,1.0,2.0,1000.0,0.1,2.0,0.0003009715802315,0.0227856570799691,0.0001641293380764
99,1.0,2.0,1000.0,0.1,3.0,0.0002993044750372,0.024324494742417,0.0001624681380084
100,1.0,2.0,1000.0,0.01,0.0,7.476800664032296e-06,0.0044576203172656,1.591408265310826e-06
101,1.0,2.0,1000.0,0.01,1.0,5.23427134202835e-06,0.0035846328621731,1.7217601732251092e-06
102,1.0,2.0,1000.0,0.01,2.0,3.6210244465611424e-05,0.0136505955513319,2.660370899537738e-06
103,1.0,2.0,1000.0,0.01,3.0,2.469547245718863e-05,0.0094478247599822,2.02735263855056e-06
104,1.0,2.0,1000.0,0.001,0.0,1.345699651416094e-07,0.0005262976351547,1.6938764739088737e-08
105,1.0,2.0,1000.0,0.001,1.0,2.1584540045702825e-07,0.000789103265642,1.7950179208885332e-08
106,1.0,2.0,1000.0,0.001,2.0,2.0762215112557648e-05,0.0105884101908388,7.570894957482042e-07
107,1.0,2.0,1000.0,0.001,3.0,1.3055180722716676e-05,0.0079536347143644,2.222461895708525e-07
108,1.0,2.0,1000.0,0.0,0.0,8.751514264564501e-08,0.000180552707713,1.1450523070492044e-10
109,1.0,2.0,1000.0,0.0,1.0,1.2897596614189637e-07,0.0002234052568694,1.770665184979308e-10
110,1.0,2.0,1000.0,0.0,2.0,2.0680355371218514e-05,0.0101561271620681,7.860262527152219e-07
111,1.0,2.0,1000.0,0.0,3.0,1.9053541363422605e-05,0.0093938016464577,2.160013909085525e-07
112,1.0,2.0,1500.0,0.1,0.0,0.0006219213658552,0.0293568530269013,0.0001558885511517
113,1.0,2.0,1500.0,0.1,1.0,0.0004345619077796,0.0218296493268318,0.0001784520298658
114,1.0,2.0,1500.0,0.1,2.0,0.0006352775817873,0.0297827237909027,0.0001760017118316
115,1.0,2.0,1500.0,0.1,3.0,0.000520734613581,0.0255969474866872,0.000163974668131
116,1.0,2.0,1500.0,0.01,0.0,1.5470413842340397e-05,0.0083255280396809,1.669357888478509e-06
117,1.0,2.0,1500.0,0.01,1.0,1.3525671325330058e-05,0.0085624604494478,1.580866116372322e-06
118,1.0,2.0,1500.0,0.01,2.0,3.291265957969524e-05,0.0113976949609903,2.6138459545083285e-06
119,1.0,2.0,1500.0,0.01,3.0,1.4407391607091414e-05,0.0073733385462947,1.985589127937705e-06
120,1.0,2.0,1500.0,0.001,0.0,9.14069548345076e-07,0.0021964634098073,1.7131400845214548e-08
121,1.0,2.0,1500.0,0.001,1.0,1.967845503624324e-07,0.000623135221743,1.6496825247693066e-08
122,1.0,2.0,1500.0,0.001,2.0,1.0676970390657371e-05,0.0073553260033607,1.1829408999660597e-06
123,1.0,2.0,1500.0,0.001,3.0,2.028754635440653e-05,0.0103348846488142,2.498066106789975e-07
124,1.0,2.0,1500.0,0.0,0.0,3.626577063082767e-08,0.0001363905180055,4.645755108584681e-11
125,1.0,2.0,1500.0,0.0,1.0,3.310212528201083e-08,0.0001649167129125,4.873071941077164e-11
126,1.0,2.0,1500.0,0.0,2.0,2.773816824499648e-05,0.0109622995063624,8.667539753758212e-07
127,1.0,2.0,1500.0,0.0,3.0,1.4188022583569558e-05,0.0079360966381988,2.11923944950762e-07
128,2.0,2.0,50.0,0.1,0.0,0.0149537323007717,0.2100545743959298,0.0001421937927199
129,2.0,2.0,50.0,0.1,1.0,0.0149580249631722,0.2100688838106817,0.0001421844697293
130,2.0,2.0,50.0,0.1,2.0,0.0150591546122348,0.2638952266066051,0.0001408285998081
131,2.0,2.0,50.0,0.1,3.0,0.0177517554438436,0.2858790566414871,0.0001383944864985
132,2.0,2.0,50.0,0.01,0.0,8.711582642914214e-05,0.0139416051757222,1.5285660476926667e-06
133,2.0,2.0,50.0,0.01,1.0,8.71168164282953e-05,0.0139412227331823,1.528597812904818e-06
134,2.0,2.0,50.0,0.01,2.0,0.0001551371260175,0.0224222117014439,2.528697439696012e-06
135,2.0,2.0,50.0,0.01,3.0,0.0001162055418295,0.0166109607967781,1.6815290037540611e-06
136,2.0,2.0,50.0,0.001,0.0,3.70317922093083e-06,0.0016406236666149,1.991812384660528e-08
137,2.0,2.0,50.0,0.001,1.0,3.702642061994692e-06,0.0016415856117768,1.9918797770905093e-08
138,2.0,2.0,50.0,0.001,2.0,1.5549840519984816e-05,0.0040086027675324,8.621039318918562e-07
